strategy,symbol,timeframe,type,lot_size,entry_time,entry_price,exit_price,exit_time,pnl_usd,pnl_pips,exit_reason,duration_mins,win,module_id,trade_id
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2026-05-28 06:00:00,0.71023,0.71313,2026-05-28 15:00:00,285.0,29.0,BB Middle (Mean Reversion),540,True,Opt_AUDUSD_1H_DAY,84
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-05-29 16:00:00,0.71873,0.71876,2026-05-29 22:00:00,-8.0,-0.3,Cut Before Rollover (MT5 22:00),360,False,Opt_AUDUSD_1H_DAY,85
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Buy (Short Put),1.0,2026-06-01 16:00:00,0.71386,0.7161,2026-06-01 22:00:00,219.0,22.4,Cut Before Rollover (MT5 22:00),360,True,Opt_AUDUSD_1H_DAY,86
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-06-04 14:00:00,215.012,214.822,2026-06-04 22:00:00,114.36,19.0,BB Middle (Mean Reversion),480,True,Opt_GBPJPY_1H_US,87
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Sell (Short Call),1.0,2026-06-04 14:00:00,185.983,185.826,2026-06-04 22:00:00,93.63,15.7,Cut Before Rollover (MT5 22:00),480,True,Opt_EURJPY_1H_US,88
1h 澳美白天低點差收租 (v5.10 自適應帶寬),AUDUSD,1h,Sell (Short Call),1.0,2026-06-04 14:00:00,0.71463,0.71363,2026-06-04 22:00:00,95.0,10.0,Cut Before Rollover (MT5 22:00),480,True,Opt_AUDUSD_1H_DAY,89
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-06-05 13:00:00,215.447,214.78,2026-06-05 15:00:00,414.03,66.7,BB Middle (Mean Reversion),120,True,Opt_GBPJPY_1H_US,90
1h 歐日美盤波動收租 (v5.10 自適應帶寬),EURJPY,1h,Buy (Short Put),1.0,2026-06-05 16:00:00,185.33,185.02314,2026-06-05 18:00:00,-197.78,-30.7,SL (-1.5 ATR),120,False,Opt_EURJPY_1H_US,91
1h 鎊日美盤高波收租 (v5.10 自適應帶寬),GBPJPY,1h,Sell (Short Call),1.0,2026-06-09 13:00:00,214.529,214.79921,2026-06-09 16:00:00,-174.76,-27.0,SL (-1.5 ATR),180,False,Opt_GBPJPY_1H_US,92
1h 澳瑞全天避險收租 (v5.10 自適應帶寬),AUDCHF,1h,Buy (Short Put),1.0,2026-06-09 18:00:00,0.56027,0.56109,2026-06-09 22:00:00,97.22,8.2,Cut Before Rollover (MT5 22:00),240,True,Opt_AUDCHF_1H_DAY,93
