symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
AUDNZD,15m,DAY,2.0,1.5,2.0,172,27.3,0.25,-5665.2,5.71,39.94,60.34,-32.94,30.8,88.3
EURJPY,1h,DAY,2.0,2.5,1.2,154,49.4,0.71,-5700.81,6.34,181.48,249.92,-37.02,27.9,436.4
USDJPY,1h,DAY,2.5,2.0,1.0,93,41.9,0.54,-5734.4,6.08,170.28,229.17,-61.66,18.3,376.8
GBPNZD,1h,DAY,2.2,1.5,3.0,129,38.8,0.7,-5776.89,7.21,264.86,240.76,-44.78,25.6,358.1
GBPUSD,1h,US,2.0,2.5,0.8,103,45.6,0.64,-5802.15,6.9,224.0,291.61,-56.33,16.5,334.4
CADCHF,1h,DAY,2.2,2.5,1.1,117,42.7,0.49,-5822.09,5.82,113.15,171.34,-49.76,25.6,349.7
USDCHF,1h,DAY,2.0,2.5,0.6,157,47.8,0.73,-5852.55,6.11,210.53,263.93,-37.28,30.6,359.6
EURCAD,15m,DAY,2.0,2.0,1.9,152,36.2,0.37,-5857.38,5.86,63.5,96.39,-38.54,40.1,105.9
GBPUSD,1h,DAY,2.2,2.5,0.8,130,46.9,0.73,-5912.38,6.8,266.18,321.01,-45.48,26.2,365.1
GBPUSD,1h,DAY,2.0,2.5,0.8,151,47.0,0.76,-5925.51,6.64,262.1,306.68,-39.24,28.5,366.4
USDJPY,1h,DAY,2.8,2.5,1.0,49,36.7,0.35,-5962.93,6.18,181.24,297.59,-121.69,14.3,459.2
GBPAUD,1h,DAY,2.0,2.0,2.7,153,41.2,0.74,-6017.96,6.04,267.41,254.06,-39.33,28.1,376.1
CADCHF,1h,US,2.0,2.0,1.1,115,36.5,0.41,-6033.57,6.03,101.73,141.18,-52.47,13.9,271.8
EURUSD,1h,DAY,2.2,2.5,0.3,122,47.5,0.63,-6036.92,7.38,177.97,255.61,-49.48,27.9,383.1
GBPAUD,1h,DAY,2.0,1.5,2.7,172,38.4,0.74,-6037.88,6.04,256.15,216.45,-35.1,23.3,324.1
GBPCHF,1h,DAY,2.5,2.5,1.7,80,38.8,0.48,-6077.79,6.08,178.65,237.06,-75.97,16.2,384.8
NZDCAD,15m,DAY,2.0,1.5,1.8,169,27.8,0.26,-6087.25,6.22,45.25,67.33,-36.02,29.6,88.8
EURCAD,1h,DAY,2.0,1.5,1.9,181,38.7,0.61,-6110.05,6.66,136.17,140.92,-33.76,23.8,259.6
EURAUD,1h,DAY,2.0,2.0,1.7,154,42.2,0.67,-6113.67,6.42,189.37,206.99,-39.7,24.0,396.2
NZDCAD,1h,DAY,2.0,2.5,1.8,135,43.0,0.46,-6148.83,6.39,90.71,148.18,-45.55,32.6,440.0
EURCHF,15m,DAY,2.0,2.5,1.2,147,39.5,0.31,-6155.86,6.16,48.65,100.87,-41.88,49.7,119.3
CADCHF,1h,US,2.0,1.5,1.1,131,35.9,0.42,-6159.36,6.16,94.99,126.48,-47.02,11.5,230.8
EURCHF,1h,US,2.2,2.5,1.2,81,32.1,0.33,-6160.83,6.35,119.28,168.4,-76.06,8.6,310.4
NZDCHF,15m,DAY,2.0,2.0,1.5,139,29.5,0.17,-6169.02,6.17,31.76,76.24,-44.38,38.8,104.1
EURCHF,1h,US,2.0,2.0,1.2,110,32.7,0.4,-6178.76,6.18,113.88,138.9,-56.17,10.0,279.3
GBPNZD,1h,DAY,2.2,2.5,3.0,110,43.6,0.67,-6203.88,8.51,263.31,303.92,-56.4,30.0,492.0
GBPCHF,1h,DAY,2.5,1.5,1.7,90,36.7,0.5,-6225.25,6.23,186.15,216.98,-69.17,13.3,288.0
EURNZD,15m,DAY,2.0,2.5,2.8,133,47.4,0.41,-6262.65,6.34,68.03,150.69,-47.09,53.4,147.9
EURAUD,1h,DAY,2.0,1.5,1.7,173,38.2,0.68,-6313.41,6.88,199.34,181.96,-36.49,21.4,349.9
EURCHF,15m,DAY,2.0,2.0,1.2,164,34.8,0.33,-6361.13,6.36,53.94,88.18,-38.79,41.5,102.1
EURAUD,1h,DAY,2.0,2.5,1.7,142,45.1,0.65,-6401.2,6.94,184.99,233.85,-45.08,28.2,432.7
EURCAD,1h,DAY,2.0,2.0,1.9,161,41.6,0.58,-6419.93,7.02,133.18,163.22,-39.88,26.7,307.8
EURNZD,15m,DAY,2.0,1.5,2.8,167,36.5,0.42,-6476.1,6.51,77.73,105.83,-38.78,37.7,97.9
EURCHF,1h,US,2.0,1.5,1.2,125,29.6,0.4,-6486.0,6.49,116.9,122.86,-51.89,8.8,241.4
EURNZD,15m,DAY,2.0,2.0,2.8,145,42.1,0.4,-6502.57,6.61,72.03,129.72,-44.85,45.5,126.8
EURCHF,1h,DAY,2.0,2.0,1.2,154,39.0,0.51,-6529.82,6.64,113.76,142.08,-42.4,21.4,309.4
EURCHF,1h,DAY,2.2,1.5,1.2,148,33.8,0.47,-6555.42,6.66,117.62,126.9,-44.29,16.2,271.2
USDJPY,1h,DAY,2.2,1.5,1.0,142,35.9,0.56,-6598.14,7.32,166.77,165.97,-46.47,18.3,326.2
GBPCAD,1h,DAY,2.2,2.5,2.2,126,42.9,0.6,-6605.57,7.14,182.12,228.34,-52.43,25.4,366.7
EURCHF,1h,US,2.0,2.5,1.2,103,35.9,0.38,-6632.44,6.63,109.22,161.72,-64.39,10.7,308.7
GBPCHF,15m,DAY,2.2,2.5,1.7,102,43.1,0.33,-6683.18,6.78,73.28,170.82,-65.52,46.1,131.5
EURCHF,1h,DAY,2.0,1.5,1.2,176,35.2,0.53,-6683.34,6.79,120.79,124.32,-37.97,18.8,265.2
AUDCHF,15m,DAY,2.0,1.5,1.0,163,25.8,0.22,-6696.85,6.7,44.42,70.76,-41.08,28.2,97.9
CADCHF,15m,DAY,2.0,1.5,1.1,173,24.9,0.24,-6701.5,6.77,49.68,67.98,-38.74,27.2,70.7
GBPCHF,1h,DAY,2.5,2.0,1.7,84,36.9,0.47,-6721.56,6.72,189.47,237.64,-80.02,15.5,340.7
CADCHF,1h,DAY,2.0,2.5,1.1,139,41.7,0.49,-6782.37,6.78,111.49,163.57,-48.79,25.9,347.5
EURCHF,1h,DAY,2.0,2.5,1.2,143,42.0,0.49,-6789.9,6.9,108.82,160.47,-47.48,23.1,340.7
EURCHF,1h,DAY,2.2,2.0,1.2,130,36.9,0.44,-6835.63,6.94,110.78,148.21,-52.58,18.5,319.4
GBPNZD,1h,DAY,2.2,2.0,3.0,118,40.7,0.66,-6839.07,8.59,271.84,284.1,-57.96,28.0,425.1
GBPNZD,15m,DAY,2.2,2.0,3.0,114,42.1,0.38,-6858.87,6.92,85.91,166.4,-60.17,43.9,113.6
EURCAD,15m,DAY,2.0,1.5,1.9,188,28.7,0.35,-6861.0,6.86,67.44,78.38,-36.49,30.3,81.5
GBPCHF,1h,US,2.2,2.5,1.7,77,37.7,0.41,-6923.84,7.34,164.19,243.45,-89.92,9.1,321.8
USDJPY,1h,DAY,2.2,2.0,1.0,131,42.0,0.56,-6946.01,7.42,163.13,209.45,-53.02,22.1,377.4
GBPCHF,1h,US,2.2,1.5,1.7,96,35.4,0.45,-6996.73,7.42,166.63,204.23,-72.88,7.3,245.6
CADCHF,1h,DAY,2.2,2.0,1.1,134,38.8,0.45,-7029.86,7.03,110.24,155.64,-52.46,21.6,297.8
NZDCAD,1h,DAY,2.0,2.0,1.8,150,38.7,0.43,-7076.53,7.12,90.24,133.81,-47.18,28.0,386.0
USDCHF,1h,DAY,2.0,1.5,0.6,189,39.7,0.68,-7169.84,7.66,204.56,197.47,-37.94,22.2,273.0
GBPAUD,15m,DAY,2.2,2.5,2.7,95,37.9,0.25,-7172.9,7.17,66.32,162.04,-75.5,41.1,146.2
GBPNZD,15m,DAY,2.2,1.5,3.0,136,35.3,0.37,-7178.29,7.29,88.11,129.63,-52.78,35.3,87.2
NZDCHF,15m,DAY,2.0,1.5,1.5,166,22.9,0.15,-7265.18,7.27,34.79,67.09,-43.77,27.7,80.4
USDJPY,1h,DAY,2.5,2.5,1.0,87,41.4,0.47,-7268.8,7.61,177.81,268.04,-83.55,18.4,424.1
EURCHF,1h,DAY,2.2,2.5,1.2,119,38.7,0.4,-7301.37,7.42,107.57,167.81,-61.36,20.2,349.9
NZDCAD,1h,DAY,2.0,1.5,1.8,174,33.3,0.45,-7324.67,7.39,101.65,113.97,-42.1,24.1,330.3
GBPAUD,1h,US,2.0,1.5,2.7,100,34.0,0.44,-7362.73,8.06,169.28,198.76,-73.63,9.0,255.0
CADCHF,1h,DAY,2.2,1.5,1.1,146,33.6,0.42,-7362.89,7.36,107.7,130.31,-50.43,16.4,251.5
GBPNZD,15m,DAY,2.2,2.5,3.0,109,43.1,0.36,-7365.9,7.43,87.99,185.5,-67.58,47.7,135.7
GBPCHF,1h,US,2.2,2.0,1.7,83,33.7,0.4,-7454.55,7.87,174.64,224.45,-89.81,8.4,289.2
EURCHF,15m,DAY,2.0,1.5,1.2,204,29.4,0.31,-7462.21,7.46,55.85,75.09,-36.58,31.4,76.0
USDJPY,1h,DAY,2.0,1.5,1.0,175,36.6,0.59,-7490.61,8.05,171.68,166.47,-42.8,21.1,320.9
GBPNZD,1h,DAY,2.0,2.5,3.0,134,43.3,0.65,-7520.79,9.15,236.9,279.75,-56.13,29.1,479.1
GBPAUD,1h,US,2.0,2.5,2.7,79,35.4,0.4,-7572.55,8.41,177.42,245.89,-95.86,11.4,334.9
USDJPY,1h,DAY,2.0,2.0,1.0,158,43.0,0.6,-7655.67,8.2,169.22,212.92,-48.45,25.3,369.9
GBPAUD,15m,DAY,2.2,1.5,2.7,112,25.0,0.23,-7676.85,7.68,82.43,118.87,-68.54,24.1,94.4
USDJPY,1h,DAY,2.2,2.5,1.0,122,44.3,0.54,-7717.53,8.32,165.11,244.61,-63.26,23.8,416.1
GBPCHF,1h,US,2.0,1.5,1.7,117,37.6,0.48,-7730.27,8.41,162.55,203.87,-66.07,8.5,259.5
CADCHF,1h,DAY,2.0,2.0,1.1,156,38.5,0.45,-7841.88,7.84,108.17,149.29,-50.27,21.8,298.5
GBPCHF,1h,US,2.0,2.5,1.7,96,40.6,0.43,-7856.73,8.11,151.62,241.58,-81.84,9.4,335.6
GBPCAD,1h,DAY,2.0,2.5,2.2,152,44.1,0.6,-7871.27,8.61,179.48,234.08,-51.78,27.0,366.3
GBPCAD,1h,US,2.2,2.0,2.2,101,34.7,0.43,-7895.47,8.49,170.6,210.1,-78.17,11.9,284.0
GBPCAD,1h,US,2.0,2.5,2.2,113,38.1,0.48,-7968.74,8.78,173.33,220.32,-70.52,15.9,325.0
GBPAUD,1h,US,2.0,2.0,2.7,88,33.0,0.38,-7980.09,8.93,169.19,218.42,-90.68,10.2,298.6
GBPCAD,1h,US,2.2,2.5,2.2,95,33.7,0.41,-7987.22,8.6,174.3,215.32,-84.08,13.7,317.1
GBPAUD,15m,DAY,2.2,2.0,2.7,102,31.4,0.23,-8031.27,8.03,73.77,148.45,-78.74,31.4,122.4
GBPNZD,1h,DAY,2.0,2.0,3.0,145,41.4,0.64,-8068.71,9.04,239.8,264.2,-55.65,27.6,417.1
GBPCHF,15m,DAY,2.2,2.0,1.7,119,33.6,0.29,-8096.7,8.1,81.86,143.94,-68.04,34.5,101.8
GBPCHF,1h,US,2.0,2.0,1.7,106,36.8,0.45,-8186.98,8.91,171.44,221.99,-77.24,9.4,301.7
GBPNZD,1h,DAY,2.0,1.5,3.0,163,37.4,0.64,-8224.81,8.85,241.33,224.96,-50.46,23.9,361.5
GBPCHF,1h,DAY,2.2,1.5,1.7,137,38.0,0.53,-8242.97,8.5,181.32,207.9,-60.17,16.1,283.4
CADCHF,1h,DAY,2.0,1.5,1.1,182,35.2,0.45,-8324.44,8.32,107.23,128.71,-45.74,18.1,251.5
EURNZD,1h,DAY,2.0,2.0,2.8,163,43.6,0.6,-8463.52,8.7,181.35,231.95,-51.92,30.7,427.4
GBPCHF,1h,DAY,2.2,2.5,1.7,112,40.2,0.49,-8481.79,8.71,181.3,248.36,-75.73,19.6,377.7
USDJPY,1h,DAY,2.0,2.5,1.0,148,45.3,0.57,-8503.72,9.18,171.6,246.92,-57.46,28.4,419.2
GBPNZD,15m,DAY,2.0,2.0,3.0,177,44.6,0.43,-8523.98,8.76,83.06,153.94,-48.16,48.6,124.9
GBPCHF,15m,DAY,2.2,1.5,1.7,144,27.8,0.29,-8565.67,8.67,86.56,115.66,-59.48,27.1,73.5
EURNZD,1h,DAY,2.0,2.5,2.8,147,46.9,0.59,-8624.93,8.92,179.49,269.35,-58.67,34.7,460.0
GBPCAD,1h,US,2.2,1.5,2.2,117,31.6,0.42,-8703.55,9.04,170.1,187.47,-74.39,10.3,231.8
GBPCAD,1h,DAY,2.2,2.0,2.2,136,39.7,0.53,-8766.41,9.34,181.15,226.2,-64.46,20.6,309.7
EURNZD,1h,DAY,2.0,1.5,2.8,176,38.1,0.58,-9112.26,9.43,190.2,200.51,-51.77,25.6,357.6
GBPCHF,1h,DAY,2.0,1.5,1.7,163,38.7,0.56,-9189.66,9.32,183.22,207.32,-56.38,17.2,279.0
GBPAUD,15m,DAY,2.0,2.5,2.7,129,41.1,0.27,-9239.52,9.26,64.07,166.25,-71.62,44.2,143.0
GBPNZD,15m,DAY,2.0,2.5,3.0,165,46.7,0.4,-9336.23,9.54,82.43,178.22,-56.58,51.5,141.8
GBPCAD,1h,US,2.0,2.0,2.2,126,36.5,0.45,-9503.22,10.29,169.46,216.23,-75.42,13.5,281.4
GBPCHF,15m,DAY,2.0,2.5,1.7,144,41.0,0.31,-9513.06,9.57,71.66,161.66,-66.06,45.1,124.0
GBPCHF,1h,DAY,2.0,2.5,1.7,133,41.4,0.5,-9884.43,10.02,181.83,254.94,-74.32,21.1,364.1
GBPCAD,1h,DAY,2.2,1.5,2.2,156,34.0,0.5,-10005.58,10.26,191.58,195.72,-64.14,17.3,254.6
GBPCAD,1h,US,2.0,1.5,2.2,146,34.2,0.46,-10022.94,10.56,170.86,193.39,-68.65,11.6,228.9
GBPCHF,1h,DAY,2.2,2.0,1.7,123,36.6,0.45,-10102.52,10.1,186.15,236.91,-82.13,17.9,325.4
GBPCHF,15m,DAY,2.0,2.0,1.7,172,34.9,0.32,-10321.88,10.44,82.53,136.37,-60.01,37.2,95.8
GBPNZD,15m,DAY,2.0,1.5,3.0,210,36.2,0.4,-10350.8,10.61,88.98,127.71,-49.29,36.7,91.9
GBPAUD,15m,DAY,2.0,2.0,2.7,142,34.5,0.25,-10405.1,10.43,72.56,150.12,-73.28,34.5,119.2
GBPAUD,15m,DAY,2.0,1.5,2.7,164,27.4,0.25,-10464.79,10.49,78.39,117.58,-63.81,27.4,91.6
GBPCHF,1h,DAY,2.0,2.0,1.7,147,38.8,0.5,-10721.34,10.85,188.03,238.21,-72.93,19.0,316.7
GBPCAD,1h,DAY,2.0,2.0,2.2,172,39.5,0.52,-11670.74,12.44,184.35,232.76,-67.85,22.1,303.8
GBPCAD,1h,DAY,2.0,1.5,2.2,198,34.8,0.53,-12059.63,12.51,195.45,198.03,-60.91,17.7,248.8
GBPCHF,15m,DAY,2.0,1.5,1.7,208,26.0,0.26,-12418.51,12.52,82.33,109.51,-59.7,27.4,73.2
