symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
EURUSD,1h,DAY,2.0,1.5,0.3,191,40.3,0.86,-2702.81,5.64,212.77,167.42,-14.15,25.7,284.6
EURGBP,1h,DAY,2.2,2.0,0.7,140,49.3,0.76,-2707.69,3.6,125.52,160.12,-19.34,29.3,320.6
USDJPY,15m,US,2.0,2.0,1.0,56,50.0,0.44,-2707.82,3.06,76.22,172.93,-48.35,48.2,126.4
GBPJPY,1h,DAY,2.0,1.5,2.1,160,45.0,0.86,-2710.38,5.72,239.82,227.01,-16.94,23.8,338.6
GBPCAD,1h,US,2.5,1.5,2.2,73,38.4,0.64,-2716.3,2.93,174.95,169.22,-37.21,11.0,250.7
EURAUD,1h,DAY,2.2,2.0,1.7,123,45.5,0.79,-2723.1,3.26,187.97,197.75,-22.14,24.4,405.4
USDJPY,1h,US,2.5,2.0,1.0,46,47.8,0.52,-2743.43,3.87,135.64,238.64,-59.64,8.7,277.8
EURCAD,15m,DAY,2.5,2.5,1.9,71,42.3,0.39,-2745.09,2.86,59.43,110.44,-38.66,49.3,131.0
NZDCHF,1h,DAY,2.2,2.5,1.5,85,41.2,0.54,-2751.67,2.76,92.13,119.52,-32.37,35.3,441.2
GBPJPY,15m,US,2.0,2.5,2.1,44,40.9,0.55,-2757.8,3.6,185.63,234.58,-62.68,38.6,141.5
AUDCHF,15m,US,2.0,1.5,1.0,66,28.8,0.24,-2761.7,2.8,45.98,77.35,-41.84,27.3,98.0
EURAUD,1h,US,2.0,2.5,1.7,82,43.9,0.66,-2770.69,4.24,148.12,176.16,-33.79,13.4,319.0
EURCHF,15m,US,2.0,2.0,1.2,51,31.4,0.27,-2777.93,2.78,63.09,108.21,-54.47,39.2,127.9
USDCHF,1h,US,2.2,2.0,0.6,90,44.4,0.74,-2780.07,3.38,202.34,217.47,-30.89,15.6,290.0
NZDCHF,1h,US,2.0,2.5,1.5,62,29.0,0.35,-2800.24,2.81,84.34,98.14,-45.17,16.1,344.5
EURCHF,1h,US,2.5,1.5,1.2,62,29.0,0.48,-2805.66,3.13,146.39,123.65,-45.25,8.1,253.5
GBPJPY,1h,DAY,2.2,2.5,2.1,117,53.0,0.83,-2818.33,5.41,223.39,303.06,-24.09,26.5,440.0
EURGBP,1h,DAY,2.8,1.5,0.7,66,37.9,0.5,-2828.89,3.17,112.84,137.8,-42.86,16.7,284.5
GBPJPY,15m,US,2.0,1.5,2.1,54,37.0,0.55,-2831.45,3.58,174.52,185.93,-52.43,33.3,97.2
NZDCAD,1h,US,2.0,1.5,1.8,83,33.7,0.49,-2833.38,2.86,98.21,101.51,-34.14,14.5,261.0
EURCAD,15m,US,2.0,1.5,1.9,73,32.9,0.4,-2844.83,3.02,80.68,97.57,-38.97,35.6,93.3
GBPCHF,1h,US,2.8,2.0,1.7,29,27.6,0.41,-2847.09,2.85,251.02,231.2,-98.18,6.9,283.4
NZDCAD,1h,US,2.2,1.5,1.8,51,27.5,0.32,-2854.25,2.89,97.1,113.88,-55.97,5.9,260.0
AUDCAD,15m,DAY,2.2,2.5,1.4,108,50.0,0.41,-2857.96,2.9,36.24,89.16,-26.46,56.5,139.7
NZDCHF,1h,US,2.0,1.5,1.5,67,26.9,0.37,-2866.11,2.88,91.61,92.15,-42.78,13.4,277.6
AUDNZD,1h,DAY,2.5,1.5,2.0,81,33.3,0.5,-2868.4,3.44,105.47,105.85,-35.41,25.9,360.0
EURCAD,1h,US,2.5,2.0,1.9,71,36.6,0.53,-2878.31,3.24,123.4,135.26,-40.54,16.9,289.0
EURJPY,15m,DAY,2.0,2.0,1.2,142,47.9,0.7,-2888.6,4.35,97.01,128.18,-20.34,49.3,135.0
EURGBP,1h,DAY,2.8,2.5,0.7,55,45.5,0.49,-2902.66,3.24,110.17,188.56,-52.78,21.8,370.9
AUDCHF,15m,DAY,2.5,2.5,1.0,58,31.0,0.21,-2910.31,2.91,42.37,91.83,-50.18,43.1,158.0
CADCHF,1h,DAY,2.8,2.0,1.1,54,38.9,0.45,-2913.55,2.96,114.14,160.92,-53.95,18.5,323.3
AUDCHF,15m,DAY,2.5,1.5,1.0,71,26.8,0.21,-2917.79,2.92,40.86,71.04,-41.1,31.0,106.3
EURCAD,1h,US,2.2,2.0,1.9,106,42.5,0.67,-2922.8,3.47,130.4,144.11,-27.57,23.6,281.3
GBPCAD,1h,US,2.5,2.5,2.2,62,40.3,0.6,-2926.15,3.23,174.01,196.66,-47.2,14.5,320.3
CADCHF,1h,DAY,2.8,2.5,1.1,52,40.4,0.45,-2935.85,2.94,113.67,171.7,-56.46,19.2,356.5
GBPJPY,15m,DAY,2.2,1.5,2.1,111,42.3,0.71,-2948.03,4.92,150.04,156.25,-26.56,40.5,97.8
EURCAD,1h,US,2.2,2.5,1.9,94,43.6,0.64,-2950.87,3.52,127.02,153.94,-31.39,25.5,312.1
USDJPY,1h,US,2.8,2.5,1.0,24,41.7,0.35,-2954.24,3.42,161.86,326.63,-123.09,8.3,292.5
EURGBP,1h,DAY,2.2,1.5,0.7,161,45.3,0.75,-2959.48,3.68,124.12,136.59,-18.38,25.5,278.4
USDJPY,15m,US,2.0,1.5,1.0,63,42.9,0.43,-2960.97,3.3,82.02,143.77,-47.0,41.3,105.5
EURJPY,15m,US,2.0,1.5,1.2,52,36.5,0.41,-2968.11,4.05,110.33,153.47,-57.08,32.7,124.3
AUDCAD,1h,DAY,2.0,2.5,1.4,144,49.3,0.72,-2978.58,3.87,107.56,145.42,-20.68,31.2,442.9
NZDCHF,1h,US,2.0,2.0,1.5,64,28.1,0.34,-2994.32,3.01,85.03,98.37,-46.79,15.6,317.8
EURGBP,15m,DAY,2.2,1.5,0.7,140,35.0,0.48,-3029.31,3.15,56.82,63.88,-21.64,35.7,86.6
CADCHF,1h,US,2.5,2.5,1.1,64,40.6,0.5,-3040.82,3.04,116.45,159.7,-47.51,18.8,301.9
GBPCHF,1h,US,2.8,1.5,1.7,31,29.0,0.38,-3047.2,3.05,206.37,222.93,-98.3,3.2,247.7
AUDCAD,1h,DAY,2.2,1.5,1.4,130,43.8,0.68,-3054.68,3.41,111.58,128.97,-23.5,23.8,340.6
NZDUSD,15m,DAY,2.2,2.0,0.9,112,42.0,0.5,-3057.29,3.52,64.21,93.47,-27.3,43.8,126.7
NZDUSD,15m,DAY,2.2,2.5,0.9,98,45.9,0.47,-3057.72,3.52,59.38,108.11,-31.2,49.0,150.5
CADCHF,15m,DAY,2.5,2.0,1.1,71,28.2,0.23,-3068.14,3.07,45.99,78.19,-43.21,36.6,105.8
NZDUSD,1h,DAY,2.2,2.5,0.9,98,43.9,0.68,-3074.15,4.05,149.0,172.38,-31.37,29.6,454.9
AUDJPY,15m,DAY,2.0,2.5,1.9,133,51.9,0.55,-3075.59,3.44,55.57,107.96,-23.12,57.1,143.7
NZDUSD,1h,DAY,2.5,1.5,0.9,68,36.8,0.52,-3080.11,3.63,132.84,148.86,-45.3,20.6,344.1
